alpha in degree;U in mV;U_rot in mV;U_gruen in mV;Salpha in Grad;SU in mV;SU_rot in mV;SU_gruen in mV;cos(Î±)^2
-90;0,2;0;0;0,5;0,101;0,1;0,1;0,000
-80;5,7;5,2;2,6;0,5;0,1285;0,126;0,113;0,030
-70;22,4;18,2;11,5;0,5;0,212;0,191;0,1575;0,117
-60;48,4;39,4;24;0,5;0,342;0,297;0,22;0,250
-50;80,2;65,4;39,1;0,5;0,501;0,427;0,2955;0,413
-40;113,5;93;55,9;0,5;0,6675;0,565;0,3795;0,587
-30;146,1;118,5;72,4;0,5;0,8305;0,6925;0,462;0,750
-20;172,4;139,4;85,4;0,5;0,962;0,797;0,527;0,883
-15;181;147,2;90,2;0,5;1,005;0,836;0,551;0,933
-10;187,9;153;93,7;0,5;1,0395;0,865;0,5685;0,970
-5;191,7;156,7;96,2;0,5;1,0585;0,8835;0,581;0,992
0;193,1;157,8;97;0,5;1,0655;0,889;0,585;1,000
5;192,1;156,7;96,2;0,5;1,0605;0,8835;0,581;0,992
10;188,2;153,1;94,1;0,5;1,041;0,8655;0,5705;0,970
15;182,2;147,3;90,4;0,5;1,011;0,8365;0,552;0,933
20;172,8;139,9;85,7;0,5;0,964;0,7995;0,5285;0,883
30;147,4;118,9;72,8;0,5;0,837;0,6945;0,464;0,750
40;117,4;92,8;56,5;0,5;0,687;0,564;0,3825;0,587
50;82,7;65;40;0,5;0,5135;0,425;0,3;0,413
60;49;39,2;24,4;0,5;0,345;0,296;0,222;0,250
70;24,2;18;11,4;0,5;0,221;0,19;0,157;0,117
80;7,2;4,9;2,9;0,5;0,136;0,1245;0,1145;0,030
90;0,2;0;0;0,5;0,101;0,1;0,1;0,000
